idEntrada	usuarioOnline	statusSaida	paginaSaida	avaliacao.r	dataHoraEntrada	dataHoraSaida	dataHoraErro	tempoAcesso	codigo	erro
1	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	173	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
2	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	212	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
3	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:04	18/05/2021 18:03	427	500	"""INTERNAL SERVER ERROR"""
4	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	248	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
5	0	20%	4	positiva	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:02	256	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
6	0	100%	0	negativa	18/05/2021 17:57	18/05/2021 18:04	18/05/2021 18:03	446	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
7	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	295	500	"""CLIENTE NAO CADASTRADO"""
8	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:56	88	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
9	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:58	158	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
10	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	187	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
11	0	20%	4	n/ avaliado	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:01	387	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
12	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 17:59	283	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
13	0	40%	3	n/ avaliado	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	288	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
14	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	253	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
15	0	100%	0	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	173	500	"""CHAVE PIX INCORRETA"""
16	0	20%	4	positiva	18/05/2021 17:57	18/05/2021 18:05	18/05/2021 18:03	454	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
17	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	300	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
18	0	100%	0	negativa	18/05/2021 17:57	18/05/2021 17:57	18/05/2021 17:57	4	500	"""INTERNAL SERVER ERROR"""
19	1	80%	1	n/ avaliado	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	324	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
20	0	20%	4	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:58	183	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
21	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:58	112	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
22	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	214	500	"""CLIENTE NAO CADASTRADO"""
23	0	40%	3	positiva	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:57	117	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
24	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:58	153	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
25	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 18:00	165	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
26	0	40%	3	positiva	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:57	38	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
27	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:01	341	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
28	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	258	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
29	1	80%	1	n/ avaliado	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:58	103	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
30	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:04	18/05/2021 18:02	390	500	"""CHAVE PIX INCORRETA"""
31	0	20%	4	n/ avaliado	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	291	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
32	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	205	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
33	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:02	347	500	"""INTERNAL SERVER ERROR"""
34	0	40%	3	n/ avaliado	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:02	345	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
35	0	100%	0	positiva	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:01	339	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
36	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:02	323	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
37	0	40%	3	positiva	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	306	500	"""CLIENTE NAO CADASTRADO"""
38	1	80%	1	n/ avaliado	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	233	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
39	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	203	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
40	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:58	194	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
41	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	157	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
